"A10" "A50" "A100" "A500" "A5000"
"172" 1 0 0 0 1
"173" 0 0 1 1 1
"174" 0 1 1 1 1
"175" 0 1 1 0 1
"176" 0 1 0 0 0
"177" 1 0 1 0 0
"178" 1 0 0 1 1
"179" 1 1 0 1 1
"180" 0 0 1 0 0
"181" 1 1 1 0 0
"182" 1 0 1 1 0
"183" 0 1 0 1 1
"184" 0 1 0 1 1
"185" 0 1 0 0 1
"186" 0 1 0 0 0
"187" 1 1 1 1 1
"188" 1 1 0 0 0
"189" 1 0 1 0 0
"190" 0 1 0 0 0
"191" 1 0 1 0 0
"192" 1 0 0 0 1
"193" 0 0 0 0 0
"194" 0 1 0 0 0
"195" 0 1 0 0 0
"196" 0 1 1 0 1
"197" 1 1 0 1 1
"198" 1 1 0 0 1
"199" 1 0 1 0 0
"200" 0 0 1 1 0
"201" 1 1 0 1 0
"202" 1 0 1 1 1
"203" 0 0 0 1 0
"204" 0 1 1 0 0
"205" 0 1 1 0 0
"206" 0 0 0 0 0
"207" 1 1 1 1 1
"208" 1 0 1 0 1
"209" 1 0 0 1 0
"210" 0 0 0 1 0
"211" 1 0 1 0 0
"212" 1 0 0 0 1
"213" 0 1 0 1 0
"214" 0 0 0 1 0
"215" 0 0 1 0 0
"216" 0 0 0 1 0
"217" 1 1 1 1 1
"218" 1 0 1 1 0
"219" 1 0 0 0 0
"220" 0 0 0 1 1
"221" 1 0 1 1 0
"222" 1 0 1 0 1
"223" 0 0 1 0 1
"224" 0 1 0 1 1
"225" 0 1 0 0 0
"226" 0 1 0 1 0
"227" 1 0 1 0 0
"228" 1 0 1 1 0
"229" 1 1 0 0 1
"230" 0 0 0 0 1
"231" 1 1 0 0 1
"232" 1 0 1 0 0
"233" 0 1 0 1 0
"234" 0 1 0 0 0
"235" 0 1 0 1 1
"236" 0 1 0 0 0
"237" 1 1 0 1 1
"238" 1 1 1 0 1
"239" 1 0 1 0 0
"240" 0 1 1 0 0
"241" 1 0 1 1 0
"242" 1 0 0 1 1
"243" 0 0 0 0 0
"244" 0 1 0 1 1
"245" 0 1 1 0 0
"246" 0 1 0 0 0
"247" 1 1 0 1 0
"248" 1 1 0 1 1
"249" 1 0 1 1 1
"250" 0 0 0 1 1
"251" 1 1 0 0 1
"252" 1 0 0 0 0
"253" 0 0 1 1 0
"254" 0 1 0 0 0
"255" 0 1 1 1 1
"256" 0 0 0 0 0
"257" 1 1 1 0 0
"258" 1 0 0 0 0
"259" 1 0 0 0 1
"260" 0 0 0 0 0
"261" 1 0 0 0 1
"262" 1 0 1 1 1
"263" 0 1 0 1 0
"264" 0 0 0 0 1
"265" 0 0 1 1 1
"266" 0 0 1 0 1
"267" 1 1 0 1 1
"268" 1 0 0 1 0
"269" 1 0 0 1 0
"270" 0 0 0 1 0
"271" 1 0 1 0 0
"272" 1 0 0 0 1
"273" 0 0 1 1 0
"274" 0 1 1 0 1
"275" 0 1 1 1 0
"276" 0 1 0 0 1
"277" 1 0 1 0 1
"278" 1 0 0 0 1
"279" 1 1 0 0 0
"280" 0 0 1 0 0
"281" 1 1 1 1 0
"282" 1 0 1 1 0
"283" 0 1 0 0 0
"284" 0 1 0 1 0
"285" 0 1 0 1 0
"286" 0 1 0 1 1
"287" 1 1 1 1 0
"288" 1 1 0 0 1
"289" 1 0 1 0 1
"290" 0 1 0 1 1
"291" 1 0 1 0 1
"292" 1 0 0 1 0
"293" 0 0 0 1 0
"294" 0 1 0 1 0
"295" 0 1 0 1 1
"296" 0 1 1 0 1
"297" 1 1 0 1 1
"298" 1 1 0 0 0
"299" 1 0 1 0 0
"300" 0 0 1 1 1
"301" 1 1 0 0 0
"302" 1 0 1 1 0
"303" 0 0 0 0 0
"304" 0 1 1 0 0
"305" 0 1 1 0 0
"306" 0 0 0 0 0
"307" 1 1 1 0 0
"308" 1 0 1 0 1
"309" 1 0 0 0 0
"310" 0 0 0 1 1
"311" 1 0 1 1 1
"312" 1 0 0 1 1
"313" 0 1 0 0 0
"314" 0 0 0 1 0
"315" 0 0 1 1 0
"316" 0 0 0 1 1
"317" 1 1 1 0 0
"318" 1 0 1 1 1
"319" 1 0 0 1 0
"320" 0 0 0 0 0
"321" 1 0 1 0 0
"322" 1 0 1 1 1
"323" 0 0 1 0 1
"324" 0 1 0 1 1
"325" 0 1 0 1 0
"326" 0 1 0 0 1
"327" 1 0 1 0 1
"328" 1 0 1 1 1
"329" 1 1 0 0 0
"330" 0 0 0 0 1
"331" 1 1 0 1 1
"332" 1 0 1 1 1
"333" 0 1 0 1 1
"334" 0 1 0 1 0
"335" 0 1 0 0 1
"336" 0 1 0 0 0
"337" 1 1 0 1 0
"338" 1 1 1 0 0
"339" 1 0 1 0 1
"340" 0 1 1 0 1
"341" 1 0 1 1 0
"342" 1 0 0 1 0
"343" 0 0 0 0 1
"344" 0 1 0 1 1
"345" 0 1 1 0 1
"346" 0 1 0 0 1
"347" 1 1 0 1 1
"348" 1 1 0 1 1
"349" 1 0 1 0 1
"350" 0 0 0 0 0
"351" 1 1 0 0 1
"352" 1 0 0 0 1
"353" 0 0 1 1 1
"354" 0 1 0 1 1
"355" 0 1 1 1 1
"356" 0 0 0 1 0
"357" 1 1 1 0 0
"358" 1 0 0 0 0
"359" 1 0 0 1 0
"360" 0 0 0 0 0
"361" 1 0 0 1 1
"362" 1 0 1 1 0
"363" 0 1 0 0 1
"364" 0 0 0 0 0
"365" 0 0 1 0 1
"366" 0 0 1 0 1
"367" 1 1 0 1 1
"368" 1 0 0 0 1
"369" 1 0 0 0 0
"370" 0 0 0 1 0
"371" 1 0 1 1 1
"372" 1 0 0 0 0
"373" 0 0 1 1 1
"374" 0 1 1 0 0
"375" 0 1 1 0 1
"376" 0 1 0 1 1
"377" 1 0 1 0 0
"378" 1 0 0 0 0
"379" 1 1 0 1 1
"380" 0 0 1 0 1
"381" 1 1 1 0 0
"382" 1 0 1 1 1
"383" 0 1 0 1 1
"384" 0 1 0 1 0
"385" 0 1 0 1 1
"386" 0 1 0 1 0
"387" 1 1 1 0 0
"388" 1 1 0 1 1
"389" 1 0 1 0 0
"390" 0 1 0 1 1
"391" 1 0 1 0 0
"392" 1 0 0 1 0
"393" 0 0 0 0 1
"394" 0 1 0 0 0
"395" 0 1 0 0 0
"396" 0 1 1 0 0
"397" 1 1 0 0 1
"398" 1 1 0 1 0
"399" 1 0 1 1 0
"400" 0 0 1 0 1
"401" 1 1 0 0 0
"402" 1 0 1 0 1
"403" 0 0 0 1 1
"404" 0 1 1 0 0
"405" 0 1 1 0 0
"406" 0 0 0 0 1
"407" 1 1 1 0 0
"408" 1 0 1 1 0
"409" 1 0 0 0 1
"410" 0 0 0 1 0
"411" 1 0 1 0 1
"412" 1 0 0 1 1
"413" 0 1 0 1 1
"414" 0 0 0 0 0
"415" 0 0 1 1 0
"416" 0 0 0 0 1
"417" 1 1 1 1 1
"418" 1 0 1 0 1
"419" 1 0 0 1 1
"420" 0 0 0 1 0
"421" 1 0 1 1 0
"422" 1 0 1 1 1
"423" 0 0 1 0 0
"424" 0 1 0 0 0
"425" 0 1 0 1 0
"426" 0 1 0 0 0
"427" 1 0 1 1 1
"428" 1 0 1 1 0
"429" 1 1 0 0 0
"430" 0 0 0 1 1
"431" 1 1 0 1 1
"432" 1 0 1 0 1
"433" 0 1 0 0 1
"434" 0 1 0 0 0
"435" 0 1 0 0 1
"436" 0 1 0 1 1
"437" 1 1 0 0 1
"438" 1 1 1 1 1
"439" 1 0 1 1 1
"440" 0 1 1 1 1
"441" 1 0 1 0 1
"442" 1 0 0 1 1
"443" 0 0 0 0 0
"444" 0 1 0 1 0
"445" 0 1 1 0 0
"446" 0 1 0 0 0
"447" 1 1 0 1 1
"448" 1 1 0 0 0
"449" 1 0 1 1 0
"450" 0 0 0 1 1
"451" 1 1 0 1 0
"452" 1 0 0 0 0
"453" 0 0 1 0 0
"454" 0 1 0 0 1
"455" 0 1 1 0 1
"456" 0 0 0 1 1
"457" 1 1 1 1 0
"458" 1 0 0 0 1
"459" 1 0 0 1 0
"460" 0 0 0 1 0
"461" 1 0 0 1 0
"462" 1 0 1 1 0
"463" 0 1 0 0 1
"464" 0 0 0 0 0
"465" 0 0 1 0 0
"466" 0 0 1 0 1
"467" 1 1 0 1 0
"468" 1 0 0 0 0
"469" 1 0 0 1 0
"470" 0 0 0 0 0
"471" 1 0 1 0 0
"472" 1 0 0 1 0
"473" 0 0 1 1 1
"474" 0 1 1 0 0
"475" 0 1 1 1 1
"476" 0 1 0 1 1
"477" 1 0 1 0 0
"478" 1 0 0 0 0
"479" 1 1 0 1 0
"480" 0 0 1 0 1
"481" 1 1 1 0 0
"482" 1 0 1 1 1
"483" 0 1 0 0 0
"484" 0 1 0 0 1
"485" 0 1 0 1 0
"486" 0 1 0 0 0
"487" 1 1 1 0 1
"488" 1 1 0 0 0
"489" 1 0 1 1 0
"490" 0 1 0 1 0
"491" 1 0 1 1 1
"492" 1 0 0 0 0
"493" 0 0 0 0 1
"494" 0 1 0 1 0
"495" 0 1 0 0 0
"496" 0 1 1 0 1
"497" 1 1 0 0 0
"498" 1 1 0 1 1
"499" 1 0 1 1 0
"500" 0 0 1 0 0
"501" 1 1 0 1 1
"502" 1 0 1 0 0
"503" 0 0 0 0 1
"504" 0 1 1 0 0
"505" 0 1 1 0 0
"506" 0 0 0 1 0
"507" 1 1 1 1 0
"508" 1 0 1 1 1
"509" 1 0 0 1 0
"510" 0 0 0 1 1
"511" 1 0 1 0 0
"512" 1 0 0 0 0
"513" 0 1 0 1 0
"514" 0 0 0 0 0
"515" 0 0 1 0 0
"516" 0 0 0 0 1
"517" 1 1 1 0 1
"518" 1 0 1 1 1
"519" 1 0 0 0 0
"520" 0 0 0 0 0
"521" 1 0 1 1 1
"522" 1 0 1 1 1
"523" 0 0 1 0 1
"524" 0 1 0 1 1
"525" 0 1 0 0 0
"526" 0 1 0 0 0
"527" 1 0 1 1 0
"528" 1 0 1 0 1
"529" 1 1 0 0 0
"530" 0 0 0 0 1
"531" 1 1 0 0 1
"532" 1 0 1 0 0
"533" 0 1 0 1 0
"534" 0 1 0 0 0
"535" 0 1 0 1 1
"536" 0 1 0 1 1
"537" 1 1 0 1 0
"538" 1 1 1 0 1
"539" 1 0 1 0 1
"540" 0 1 1 0 1
"541" 1 0 1 0 0
"542" 1 0 0 1 0
"543" 0 0 0 0 0
"544" 0 1 0 1 0
"545" 0 1 1 0 0
"546" 0 1 0 1 0
"547" 1 1 0 0 1
"548" 1 1 0 0 0
"549" 1 0 1 0 1
"550" 0 0 0 0 0
"551" 1 1 0 0 1
"552" 1 0 0 1 0
"553" 0 0 1 1 1
"554" 0 1 0 1 1
"555" 0 1 1 0 1
"556" 0 0 0 1 1
"557" 1 1 1 0 0
"558" 1 0 0 0 1
"559" 1 0 0 1 0
"560" 0 0 0 0 0
"561" 1 0 0 0 0
"562" 1 0 1 0 1
"563" 0 1 0 0 1
"564" 0 0 0 0 0
"565" 0 0 1 1 0
"566" 0 0 1 1 0
"567" 1 1 0 0 1
"568" 1 0 0 1 0
"569" 1 0 0 0 1
"570" 0 0 0 1 0
"571" 1 0 1 1 1
"572" 1 0 0 0 0
"573" 0 0 1 0 0
"574" 0 1 1 1 1
"575" 0 1 1 1 1
"576" 0 1 0 1 1
"577" 1 0 1 0 1
"578" 1 0 0 1 0
"579" 1 1 0 0 0
"580" 0 0 1 1 1
"581" 1 1 1 0 0
"582" 1 0 1 0 0
"583" 0 1 0 1 1
"584" 0 1 0 0 1
"585" 0 1 0 0 1
"586" 0 1 0 0 0
"587" 1 1 1 1 1
"588" 1 1 0 0 0
"589" 1 0 1 1 0
"590" 0 1 0 0 1
"591" 1 0 1 0 1
"592" 1 0 0 0 1
"593" 0 0 0 1 1
"594" 0 1 0 0 1
"595" 0 1 0 1 0
"596" 0 1 1 0 0
"597" 1 1 0 1 0
"598" 1 1 0 0 1
"599" 1 0 1 0 1
"600" 0 0 1 0 1
"601" 1 1 0 1 0
"602" 1 0 1 1 0
"603" 0 0 0 0 1
"604" 0 1 1 0 1
"605" 0 1 1 0 0
"606" 0 0 0 1 1
"607" 1 1 1 0 0
"608" 1 0 1 0 1
"609" 1 0 0 0 1
"610" 0 0 0 1 1
"611" 1 0 1 0 1
"612" 1 0 0 1 0
"613" 0 1 0 1 1
"614" 0 0 0 0 1
"615" 0 0 1 1 0
"616" 0 0 0 1 0
"617" 1 1 1 1 0
"618" 1 0 1 1 0
"619" 1 0 0 1 1
"620" 0 0 0 0 1
"621" 1 0 1 1 1
"622" 1 0 1 1 1
"623" 0 0 1 0 0
"624" 0 1 0 0 1
"625" 0 1 0 0 1
"626" 0 1 0 0 0
"627" 1 0 1 0 0
"628" 1 0 1 1 0
"629" 1 1 0 1 1
"630" 0 0 0 1 1
"631" 1 1 0 1 1
"632" 1 0 1 0 0
"633" 0 1 0 0 0
"634" 0 1 0 0 0
"635" 0 1 0 1 1
"636" 0 1 0 0 1
"637" 1 1 0 0 1
"638" 1 1 1 0 1
"639" 1 0 1 0 0
"640" 0 1 1 0 0
"641" 1 0 1 1 1
"642" 1 0 0 0 0
"643" 0 0 0 0 0
"644" 0 1 0 0 0
"645" 0 1 1 0 1
"646" 0 1 0 0 1
"647" 1 1 0 0 1
"648" 1 1 0 0 0
"649" 1 0 1 0 1
"650" 0 0 0 0 0
"651" 1 1 0 0 0
"652" 1 0 0 1 1
"653" 0 0 1 1 0
"654" 0 1 0 1 0
"655" 0 1 1 1 1
"656" 0 0 0 0 0
"657" 1 1 1 0 0
"658" 1 0 0 1 1
"659" 1 0 0 1 1
"660" 0 0 0 1 0
"661" 1 0 0 1 1
"662" 1 0 1 1 0
"663" 0 1 0 0 1
"664" 0 0 0 1 0
"665" 0 0 1 0 0
"666" 0 0 1 0 0
"667" 1 1 0 1 1
"668" 1 0 0 1 1
"669" 1 0 0 1 1
"670" 0 0 0 0 1
"671" 1 0 1 0 1
"672" 1 0 0 0 1
"673" 0 0 1 1 0
"674" 0 1 1 1 1
"675" 0 1 1 0 1
"676" 0 1 0 0 0
"677" 1 0 1 0 1
"678" 1 0 0 1 0
"679" 1 1 0 1 1
"680" 0 0 1 0 1
"681" 1 1 1 0 1
"682" 1 0 1 1 1
"683" 0 1 0 1 1
"684" 0 1 0 1 0
"685" 0 1 0 0 1
"686" 0 1 0 0 1
"687" 1 1 1 1 0
"688" 1 1 0 0 0
"689" 1 0 1 0 0
"690" 0 1 0 0 0
"691" 1 0 1 0 0
"692" 1 0 0 0 0
"693" 0 0 0 0 0
"694" 0 1 0 0 1
"695" 0 1 0 0 0
"696" 0 1 1 0 0
"697" 1 1 0 1 0
"698" 1 1 0 0 0
"699" 1 0 1 0 1
"700" 0 0 1 1 1
"701" 1 1 0 1 0
"702" 1 0 1 1 1
"703" 0 0 0 1 1
"704" 0 1 1 0 1
"705" 0 1 1 0 1
"706" 0 0 0 0 0
"707" 1 1 1 1 0
"708" 1 0 1 0 0
"709" 1 0 0 1 1
"710" 0 0 0 1 1
"711" 1 0 1 0 0
"712" 1 0 0 0 0
"713" 0 1 0 1 0
"714" 0 0 0 1 0
"715" 0 0 1 0 0
"716" 0 0 0 1 1
"717" 1 1 1 1 0
"718" 1 0 1 1 0
"719" 1 0 0 0 0
"720" 0 0 0 1 0
"721" 1 0 1 1 1
"722" 1 0 1 0 1
"723" 0 0 1 0 0
"724" 0 1 0 1 1
"725" 0 1 0 0 0
"726" 0 1 0 1 1
"727" 1 0 1 0 0
"728" 1 0 1 1 0
"729" 1 1 0 0 0
"730" 0 0 0 0 0
"731" 1 1 0 0 1
"732" 1 0 1 0 1
"733" 0 1 0 1 1
"734" 0 1 0 0 0
"735" 0 1 0 1 0
"736" 0 1 0 0 0
"737" 1 1 0 1 0
"738" 1 1 1 0 0
"739" 1 0 1 0 0
"740" 0 1 1 0 1
"741" 1 0 1 1 1
"742" 1 0 0 1 1
"743" 0 0 0 0 0
"744" 0 1 0 1 0
"745" 0 1 1 0 1
"746" 0 1 0 0 1
"747" 1 1 0 1 1
"748" 1 1 0 1 1
"749" 1 0 1 1 0
"750" 0 0 0 1 0
"751" 1 1 0 0 0
"752" 1 0 0 0 1
"753" 0 0 1 1 1
"754" 0 1 0 0 0
"755" 0 1 1 1 0
"756" 0 0 0 0 0
"757" 1 1 1 0 0
"758" 1 0 0 0 0
"759" 1 0 0 0 1
"760" 0 0 0 0 1
"761" 1 0 0 0 0
"762" 1 0 1 1 0
"763" 0 1 0 1 1
"764" 0 0 0 0 1
"765" 0 0 1 1 0
"766" 0 0 1 0 1
"767" 1 1 0 1 0
"768" 1 0 0 1 1
"769" 1 0 0 1 1
"770" 0 0 0 1 1
"771" 1 0 1 0 1
"772" 1 0 0 0 1
"773" 0 0 1 1 0
"774" 0 1 1 0 0
"775" 0 1 1 1 0
"776" 0 1 0 0 0
"777" 1 0 1 0 0
"778" 1 0 0 0 0
"779" 1 1 0 0 0
"780" 0 0 1 0 0
"781" 1 1 1 1 0
"782" 1 0 1 1 0
"783" 0 1 0 0 0
"784" 0 1 0 1 0
"785" 0 1 0 1 0
"786" 0 1 0 1 1
"787" 1 1 1 1 0
"788" 1 1 0 0 1
"789" 1 0 1 0 0
"790" 0 1 0 1 1
"791" 1 0 1 0 0
"792" 1 0 0 1 1
"793" 0 0 0 1 1
"794" 0 1 0 1 1
"795" 0 1 0 1 0
"796" 0 1 1 0 0
"797" 1 1 0 1 0
"798" 1 1 0 0 0
"799" 1 0 1 0 0
"800" 0 0 1 1 1
"801" 1 1 0 0 1
"802" 1 0 1 1 1
"803" 0 0 0 0 0
"804" 0 1 1 0 1
"805" 0 1 1 0 0
"806" 0 0 0 0 1
"807" 1 1 1 0 0
"808" 1 0 1 0 0
"809" 1 0 0 0 0
"810" 0 0 0 1 0
"811" 1 0 1 1 1
"812" 1 0 0 1 1
"813" 0 1 0 0 1
"814" 0 0 0 1 1
"815" 0 0 1 1 1
"816" 0 0 0 1 1
"817" 1 1 1 0 0
"818" 1 0 1 1 0
"819" 1 0 0 1 1
"820" 0 0 0 0 1
"821" 1 0 1 0 0
"822" 1 0 1 1 0
"823" 0 0 1 0 0
"824" 0 1 0 1 0
"825" 0 1 0 1 1
"826" 0 1 0 0 0
"827" 1 0 1 0 0
"828" 1 0 1 1 0
"829" 1 1 0 0 0
"830" 0 0 0 0 1
"831" 1 1 0 1 1
"832" 1 0 1 1 0
"833" 0 1 0 1 1
"834" 0 1 0 1 1
"835" 0 1 0 0 0
"836" 0 1 0 0 0
"837" 1 1 0 1 1
"838" 1 1 1 0 0
"839" 1 0 1 0 1
"840" 0 1 1 0 1
"841" 1 0 1 1 1
"842" 1 0 0 1 0
"843" 0 0 0 0 0
"844" 0 1 0 1 0
"845" 0 1 1 0 1
"846" 0 1 0 0 0
"847" 1 1 0 1 1
"848" 1 1 0 1 1
"849" 1 0 1 0 0
"850" 0 0 0 0 0
"851" 1 1 0 0 0
"852" 1 0 0 0 0
"853" 0 0 1 1 1
"854" 0 1 0 1 0
"855" 0 1 1 1 0
"856" 0 0 0 1 0
"857" 1 1 1 0 1
"858" 1 0 0 0 0
"859" 1 0 0 1 0
"860" 0 0 0 0 0
"861" 1 0 0 1 1
"862" 1 0 1 1 1
"863" 0 1 0 0 1
"864" 0 0 0 0 1
"865" 0 0 1 0 0
"866" 0 0 1 0 0
"867" 1 1 0 1 0
"868" 1 0 0 0 0
"869" 1 0 0 0 1
"870" 0 0 0 1 0
"871" 1 0 1 1 1
"872" 1 0 0 0 1
"873" 0 0 1 1 0
"874" 0 1 1 0 0
"875" 0 1 1 0 0
"876" 0 1 0 1 0
"877" 1 0 1 0 1
"878" 1 0 0 0 0
"879" 1 1 0 1 1
"880" 0 0 1 0 0
"881" 1 1 1 0 0
"882" 1 0 1 1 0
"883" 0 1 0 1 1
"884" 0 1 0 1 0
"885" 0 1 0 1 1
"886" 0 1 0 1 1
"887" 1 1 1 0 1
"888" 1 1 0 1 0
"889" 1 0 1 0 0
"890" 0 1 0 1 1
"891" 1 0 1 0 1
"892" 1 0 0 1 0
"893" 0 0 0 0 0
"894" 0 1 0 0 1
"895" 0 1 0 0 0
"896" 0 1 1 0 0
"897" 1 1 0 0 1
"898" 1 1 0 1 1
"899" 1 0 1 1 0
"900" 0 0 1 0 0
"901" 1 1 0 0 0
"902" 1 0 1 0 0
"903" 0 0 0 1 0
"904" 0 1 1 0 0
"905" 0 1 1 0 0
"906" 0 0 0 0 0
"907" 1 1 1 0 1
"908" 1 0 1 1 0
"909" 1 0 0 0 0
"910" 0 0 0 1 0
"911" 1 0 1 0 0
"912" 1 0 0 1 1
"913" 0 1 0 1 0
"914" 0 0 0 0 1
"915" 0 0 1 1 1
"916" 0 0 0 0 1
"917" 1 1 1 1 1
"918" 1 0 1 0 0
"919" 1 0 0 1 0
"920" 0 0 0 1 0
"921" 1 0 1 1 0
"922" 1 0 1 1 0
"923" 0 0 1 0 1
"924" 0 1 0 0 1
"925" 0 1 0 1 0
"926" 0 1 0 0 1
"927" 1 0 1 1 1
"928" 1 0 1 1 1
"929" 1 1 0 0 0
"930" 0 0 0 1 0
"931" 1 1 0 1 1
"932" 1 0 1 0 1
"933" 0 1 0 0 0
"934" 0 1 0 0 0
"935" 0 1 0 0 0
"936" 0 1 0 1 0
"937" 1 1 0 0 0
"938" 1 1 1 1 0
"939" 1 0 1 1 1
"940" 0 1 1 1 1
"941" 1 0 1 0 0
"942" 1 0 0 1 0
"943" 0 0 0 0 0
"944" 0 1 0 1 1
"945" 0 1 1 0 0
"946" 0 1 0 0 1
"947" 1 1 0 1 1
"948" 1 1 0 0 1
"949" 1 0 1 1 1
"950" 0 0 0 1 0
"951" 1 1 0 1 1
"952" 1 0 0 0 1
"953" 0 0 1 0 1
"954" 0 1 0 0 1
"955" 0 1 1 0 0
"956" 0 0 0 1 1
"957" 1 1 1 1 1
"958" 1 0 0 0 1
"959" 1 0 0 1 1
"960" 0 0 0 1 1
"961" 1 0 0 1 0
"962" 1 0 1 1 1
"963" 0 1 0 0 0
"964" 0 0 0 0 1
"965" 0 0 1 0 0
"966" 0 0 1 0 0
"967" 1 1 0 1 0
"968" 1 0 0 0 1
"969" 1 0 0 1 1
"970" 0 0 0 0 1
"971" 1 0 1 0 1
"972" 1 0 0 1 0
"973" 0 0 1 1 0
"974" 0 1 1 0 1
"975" 0 1 1 1 1
"976" 0 1 0 1 1
"977" 1 0 1 0 0
"978" 1 0 0 0 1
"979" 1 1 0 1 1
"980" 0 0 1 0 0
"981" 1 1 1 0 1
"982" 1 0 1 1 1
"983" 0 1 0 0 1
"984" 0 1 0 0 0
"985" 0 1 0 1 1
"986" 0 1 0 0 0
"987" 1 1 1 0 1
"988" 1 1 0 0 1
"989" 1 0 1 1 1
"990" 0 1 0 1 1
"991" 1 0 1 1 0
"992" 1 0 0 0 0
"993" 0 0 0 0 1
"994" 0 1 0 1 0
"995" 0 1 0 0 1
"996" 0 1 1 0 0
